iter	Logloss
0	0.6751281193
1	0.6598382132
2	0.6404912676
3	0.6163918631
4	0.6052975246
5	0.5928910937
6	0.5821599688
7	0.5726150513
8	0.5552624294
9	0.5415946415
10	0.5314880916
11	0.5245484488
12	0.5183419364
13	0.509444809
14	0.4985059466
15	0.4891706739
16	0.4834031241
17	0.4813342503
18	0.4717658997
19	0.4652063642
20	0.4575593131
21	0.4534425735
22	0.443466568
23	0.435783468
24	0.4318975994
25	0.4207592555
26	0.4141447885
27	0.4066819872
28	0.3955915451
29	0.3807977949
30	0.3762308393
31	0.3721152714
32	0.3654953275
33	0.3577054432
34	0.3520349775
35	0.3466063636
36	0.3408671243
37	0.3336934498
38	0.3302554539
39	0.3245592662
40	0.3205419268
41	0.3159800938
42	0.3115490777
43	0.305654771
44	0.3012306486
45	0.2975515911
46	0.2891037532
47	0.2829882486
48	0.2783980233
49	0.2746150426
50	0.2655196326
51	0.2620134626
52	0.2584950038
53	0.2520305361
54	0.2490576335
55	0.2450271061
56	0.240593011
57	0.235893086
58	0.2318313599
59	0.2294324057
60	0.2254120827
61	0.2214732306
62	0.2162435259
63	0.2116071974
64	0.2097771781
65	0.2060411181
66	0.2018593516
67	0.1978473663
68	0.1967283521
69	0.1924433572
70	0.1882513046
71	0.1866564614
72	0.1828867095
73	0.1807771683
74	0.1780156272
75	0.1754689353
76	0.1744273458
77	0.1731438501
78	0.1712204388
79	0.1689626421
80	0.16720438
81	0.1654121671
82	0.1616812025
83	0.1579592841
84	0.1562235968
85	0.1532084329
86	0.1527282715
87	0.1509053367
88	0.1478268215
89	0.1450595311
90	0.1428276607
91	0.1402064187
92	0.1379425321
93	0.1349122592
94	0.1336172513
95	0.1313659532
96	0.1306019511
97	0.1278751237
98	0.1273748125
99	0.1241137913
100	0.1213500704
101	0.1197207996
102	0.1171636173
103	0.1151255335
104	0.1131099701
105	0.1116445814
106	0.1097658839
107	0.1084557465
108	0.1066771916
109	0.1055715902
110	0.1049339226
111	0.1033902441
112	0.1031816755
113	0.1022561823
114	0.1008013044
115	0.09966723578
116	0.09833687374
117	0.09698251316
118	0.09608263288
119	0.09385322843
120	0.09228230204
121	0.0903767177
122	0.08889962605
123	0.08719957897
124	0.0858770643
125	0.08571349553
126	0.08464952878
127	0.08359618868
128	0.08254891804
129	0.08132655961
130	0.08025940486
131	0.0790210792
132	0.07784427234
133	0.07683266912
134	0.07598423277
135	0.07509089879
136	0.07427954674
137	0.07336707115
138	0.07261027609
139	0.07221170153
140	0.0713931288
141	0.07072247778
142	0.06929836273
143	0.06841425214
144	0.06737275805
145	0.06723258836
146	0.06701002802
147	0.06650014605
148	0.06570847375
149	0.06507166454
150	0.06489886556
151	0.06424692699
152	0.0636567252
153	0.06299757276
154	0.06225660869
155	0.06191919191
156	0.06151662554
157	0.06085579055
158	0.06006255831
159	0.05994065148
160	0.05963324138
161	0.05912084579
162	0.05852680887
163	0.0581940106
164	0.05753278732
165	0.05746321678
166	0.05685253484
167	0.05588918413
168	0.05529084887
169	0.05491867747
170	0.05415842874
171	0.05369187423
172	0.0532525335
173	0.05284457888
174	0.05230328696
175	0.05184035642
176	0.05110880988
177	0.05054163592
178	0.05014487675
179	0.04973840032
180	0.04933657646
181	0.04884005274
182	0.04831017426
183	0.04810129234
184	0.04775027888
185	0.04727970532
186	0.04693850449
187	0.04659912246
188	0.04626996177
189	0.04586611475
190	0.04552959374
191	0.04483051981
192	0.0441368103
193	0.04387608256
194	0.04355057308
195	0.04350054605
196	0.04320060185
197	0.04284276962
198	0.04279997008
199	0.04260175228
200	0.04231100764
201	0.04207959175
202	0.04193812098
203	0.04155750275
204	0.04106579508
205	0.04080273764
206	0.04040648597
207	0.04007131713
208	0.03980885233
209	0.03951919419
210	0.03931804385
211	0.03904067108
212	0.03874467441
213	0.03848741736
214	0.03833394732
215	0.03801108769
216	0.03772952216
217	0.03746940068
218	0.03706221581
219	0.03675581728
220	0.03648876463
221	0.03624786309
222	0.03595637594
223	0.03584456103
224	0.03543410301
225	0.03514305864
226	0.03489788941
227	0.03466764518
228	0.03452351434
229	0.03402860505
230	0.03379594598
231	0.03343656063
232	0.03312557765
233	0.03295776503
234	0.03269336905
235	0.03226008756
236	0.03193518094
237	0.03181403705
238	0.03158368724
239	0.03146843229
240	0.03127429145
241	0.03103562764
242	0.03081662314
243	0.03052700588
244	0.03032067163
245	0.03014747756
246	0.02992307799
247	0.0296514443
248	0.02933815888
249	0.02899002007
250	0.02887570517
251	0.02867418017
252	0.02859194619
253	0.028402274
254	0.02814796822
255	0.02804125547
256	0.02790074008
257	0.02778226818
258	0.02757465839
259	0.02739169257
260	0.02719824995
261	0.02702474594
262	0.02681831292
263	0.02663533347
264	0.02643981321
265	0.0263201407
266	0.02609791756
267	0.02589195115
268	0.02574909585
269	0.02554029056
270	0.02544922318
271	0.02536008188
272	0.02526127951
273	0.02508833408
274	0.02489419324
275	0.02468377011
276	0.02449376924
277	0.02432064669
278	0.02414754799
279	0.02397772414
280	0.02385397979
281	0.02374972616
282	0.02365081651
283	0.02350792544
284	0.02340442453
285	0.02319778374
286	0.02317231042
287	0.02303151744
288	0.02293362958
289	0.02273483958
290	0.0225736005
291	0.02245722158
292	0.02236348901
293	0.02220463412
294	0.02210398061
295	0.02198147433
296	0.02185310977
297	0.02171529021
298	0.02155184746
299	0.02141569001
